nmae,price,old price,sale,url,image,fullDescription,productInformation,rating,brand,is_best_seller,new release,productCategory
Ministar Ultra HD Palette Blusher And Contour Powder 60g - 12 Colors,EGP 199.00,EGP 399.00,50%,https://www.jumia.com.eg/ministar-ultra-hd-palette-blusher-and-contour-powder-60g-12-colors-37663335.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/336673/1.jpg?1445,Brand : Ministar Product : Ultra HD Palette Blusher and Contour Powder 60g - 12 Colors Blusher Powder 6 Colors Contour Powder 6 Colors Easy to Use High Quality,SKU: MI117ST0VR6U9NAFAMZ Model: MS-460026 Color: MultiColor,1 out of 5 (1 verified rating),https://www.jumia.com.eg/ministar/,TRUE,FALSE,beauty
Makeup Brushes Set,EGP 89.99,EGP 130.00,31%,https://www.jumia.com.eg/generic-makeup-brushes-set-22692140.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/129622/1.jpg?6368,Brush material:Wool fiber Quantity:1 Handle material:Plastic Item type:Makeup brush  ,SKU: GE810ST02GIFQNAFAMZ Production Country: China Color: color may vary Main Material: N/A,2.5 out of 5 (2 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST02GIFQNAFAMZ/,FALSE,FALSE,beauty
NIVEA Nivea - Soft Refreshing & Moisturizing Cream Jar - 100ml,Official Store,EGP 50.00,34%,https://www.jumia.com.eg/nivea-nivea-soft-refreshing-moisturizing-cream-jar-100ml-37954528.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/82/545973/1.jpg?6865,Nivea - Soft Refreshing & Moisturizing Cream Jar - 100ml,SKU: NI738ST1D58VPNAFAMZ Color: N/A Main Material: N/A Shop Type: Jumia Mall,4.6 out of 5 (237 verified ratings),https://www.jumia.com.eg/nivea/,FALSE,FALSE,beauty
Me Now Make Up Set Palette Professional - 78 Colors,EGP 249.00,EGP 399.00,38%,https://www.jumia.com.eg/me-now-make-up-set-palette-professional-78-colors-25020861.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/16/802052/1.jpg?8666,Brand : Menow Name : Make up Set Palette Professional - 78 Colors Easy to use All you need in one place ,SKU: ME795ST0A04JONAFAMZ Model: MN-E477 Color: Multi colors Main Material: N/A,4.4 out of 5 (94 verified ratings),https://www.jumia.com.eg/menow/,FALSE,FALSE,beauty
"8 Makeup Brushes With A Pouch, Easy To Carry.Travel Friendly",EGP 99.99,EGP 150.00,33%,https://www.jumia.com.eg/generic-8-makeup-brushes-with-a-pouch-easy-to-carry.travel-friendly-32661313.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/316623/1.jpg?4777,"Travel-size makeup brushes: Mini makeup brushes in a wallet, easy to carry. Suitable for travel, business trip or family use. This premium brush set contains all the basic brushes and is easy to carry when traveling. Soft synthetic fibers: These cosmetic brushes are made of high-quality natural synthetic bristles, which are super soft, plump, fluffy and comfortable to the touch. It has good powder holding power, does not shed hair easily, and does not irritate the skin. The best hand feeling: The high-end full set of eye brushes are exquisite in shape, allowing you to easily control them, creating a variety of makeup blending effects on any part of the eyelids, eyebrows, etc. Easy to clean: Put the brush in warm water or brush cleaner to clean it. Remove the liquid, powder, cream or other cosmetic extracts from the bristles and wait for it to dry before using",SKU: GE810ST0IN827NAFAMZ Model: 8411 Production Country: China Color: may vary Main Material: N/A,4.4 out of 5 (9 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST0IN827NAFAMZ/,TRUE,TRUE,beauty
Garnier SkinActive Micellar Brightening Cleanser Water With Vitamin C - 400ml,Official Store,EGP 185.00,14%,https://www.jumia.com.eg/garnier-skinactive-micellar-brightening-cleanser-water-with-vitamin-c-400ml-23074942.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/24/947032/1.jpg?0538,"Enriched with micelles, highly efficient make-up remover with Vitamin C Removes Make-up, cleanses and brightens skin in one step Like a magnet, micelles capture and lift away dirt, oil and make-up without harsh rubbing Gentle on the skin and can be used to remove both face make-up and eye make-up Leaves skin perfectly clean and glowing, without over drying Vegan, No Perfume, No Alcohol, No Oil Suitable for all skin types, dermatologically tested",SKU: GA737ST0EUP94NAFAMZ Model: 3600542368094 Main Material: N/A Shop Type: Jumia Mall,4.4 out of 5 (273 verified ratings),https://www.jumia.com.eg/garnier/,FALSE,FALSE,beauty
Maybelline New York Total Temptation Eye Shadow & Highlight Palette - 8Shades,EGP 304.00,EGP 540.00,44%,https://www.jumia.com.eg/maybelline-new-york-total-temptation-eye-shadow-highlight-palette-8shades-17267362.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/376271/1.jpg?5505,Eye and cheek palette 8 eyeshadows to define eyes and 2 highlighters to illuminate cheeks Mix colors and create your temptation look with this all-in-one makeup palette Complete the total temptation look with total temptation mascara and total temptation eyebrow definer pencil,SKU: MA033ST0FPC27NAFAMZ Production Country: Italy Color: multi colors Main Material: multi,0 out of 5 (No ratings available),https://www.jumia.com.eg/maybelline/,FALSE,FALSE,beauty
Me Now Make Up Set Palette Professional - 78 Colors,EGP 230.00,EGP 389.00,41%,https://www.jumia.com.eg/me-now-make-up-set-palette-professional-78-colors-43555874.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/855534/1.jpg?9420,"Me Now Make Up Set Palette Professional - 78 Colors is a makeup product. It is a palette that contains a wide range of colors for the eyes, lips, and cheeks. The palette includes eyeshadows, blushes, and lip colors, providing a complete makeup solution in one compact set. Me Now is an affordable cosmetic brand that produces this makeup set palette, which includes 78 colors and is identified as a professional makeup set palette.",SKU: ME795ST0SHPKENAFAMZ Model: N/A Color: N/A,0 out of 5 (No ratings available),https://www.jumia.com.eg/menow/,FALSE,FALSE,beauty
NIVEA Cool Kick Roll On Anti-Perspirant For Men - 50 Ml,Official Store,EGP 51.00,21%,https://www.jumia.com.eg/nivea-cool-kick-roll-on-anti-perspirant-for-men-50-ml-37954562.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/26/545973/1.jpg?8129,Cool Kick Roll On Anti-Perspirant For Men - 50 Ml,SKU: NI738ST0FSZ05NAFAMZ Color: N/A Main Material: N/A Shop Type: Jumia Mall,4.4 out of 5 (148 verified ratings),https://www.jumia.com.eg/nivea/,FALSE,FALSE,beauty
The Soft Bristled Makeup Brush Set Is Very Convenient,EGP 39.99,EGP 60.00,33%,https://www.jumia.com.eg/generic-the-soft-bristled-makeup-brush-set-is-very-convenient-22693414.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/439622/1.jpg?7770,"The soft bristled makeup brush set is very convenient to use and easy to carry, with a nice storage boxIt won't take up much space in your bag, take it with you anywhere",SKU: GE810ST0OO70MNAFAMZ Color: color may vary Main Material: N/A,4.6 out of 5 (13 verified ratings),https://www.jumia.com.eg/catalog/productratingsreviews/sku/GE810ST0OO70MNAFAMZ/,FALSE,FALSE,beauty
