name,price,old price,sale,url,image,fullDescription,productInformation,rating
Mintra Unbreakable Cup - 330ml – Teal,EGP 9.50,EGP 13.00,27%,https://www.jumia.com.eg/mintra-unbreakable-cup-330ml-teal-37558209.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/90/285573/1.jpg?0926,Brand: Mintra Unbreakable Cup 330ml Teal,SKU: MI869HL1HR4SLNAFAMZ Model: 6221236082057 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Mintra Unbreakable Cup - 330ml – Orange,EGP 8.49,EGP 13.00,35%,https://www.jumia.com.eg/mintra-unbreakable-cup-330ml-orange-37558215.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/285573/1.jpg?0849,Brand: Mintra Unbreakable Cup 330ml Orange,SKU: MI869HL0UJ879NAFAMZ Model: 6221236082095 Color: N/A Main Material: N/A,5 out of 5 (3 verified ratings)
Mintra Unbreakable Cup - 330ml – Blue,EGP 9.50,EGP 13.00,27%,https://www.jumia.com.eg/mintra-unbreakable-cup-330ml-blue-37558206.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/60/285573/1.jpg?0869,Brand: Mintra Unbreakable Cup 330ml Blue,SKU: MI869HL0ZW4N9NAFAMZ Model: 6221236082033 Color: N/A Main Material: N/A,5 out of 5 (3 verified ratings)
Mintra Unbreakable Cup - 230ml – Watermelon,EGP 6.75,EGP 9.00,25%,https://www.jumia.com.eg/mintra-unbreakable-cup-230ml-watermelon-37558227.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/72/285573/1.jpg?0890,Brand: Mintra Unbreakable Cup 230ml Watermelon,SKU: MI869HL171BWLNAFAMZ Model: 6221236082163 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Mintra Unbreakable Cup - 330ml – Turquoise,EGP 9.50,EGP 13.00,27%,https://www.jumia.com.eg/mintra-unbreakable-cup-330ml-turquoise-37558207.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/285573/1.jpg?0885,Brand: Mintra Unbreakable Cup 330ml Turquoise,SKU: MI869HL15UGP1NAFAMZ Model: 6221236082040 Color: N/A Main Material: N/A,0 out of 5 (No ratings available)
Mintra Unbreakable Cup - 330ml – Watermelon,EGP 8.00,EGP 13.00,38%,https://www.jumia.com.eg/mintra-unbreakable-cup-330ml-watermelon-37558214.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/285573/1.jpg?0831,Brand: Mintra Unbreakable Cup 330ml Watermelon,SKU: MI869HL0OKW5HNAFAMZ Model: 6221236082088 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Mintra Unbreakable Bowl with 2 Handles - 550ml – Lavender,EGP 12.95,EGP 17.00,24%,https://www.jumia.com.eg/mintra-unbreakable-bowl-with-2-handles-550ml-lavender-37558474.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/485573/1.jpg?0844,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable Bowl with two handle Color: lavender Capacity: 550ml,SKU: MI869HL0S9S3PNAFAMZ Model: 6221236082460 Color: N/A Main Material: N/A,3.8 out of 5 (4 verified ratings)
El Mohet A Set Of Stainless Cocktail Spoons Consisting Of 6 Spoons,EGP 46.99,EGP 75.00,37%,https://www.jumia.com.eg/el-mohet-a-set-of-stainless-cocktail-spoons-consisting-of-6-spoons-37618151.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/181673/1.jpg?6507,Stainless cocktail spoon set Long spoons to help with tall glasses or Coleman's The set consists of 6 spoons,"SKU: EL176HA091E95NAFAMZ Production Country: Egypt Color: silver, shape may vary Main Material: stainless steel",4.3 out of 5 (6 verified ratings)
Mintra Unbreakable Bowl with 2 Handles -550ml – Watermelon,EGP 15.45,EGP 17.00,9%,https://www.jumia.com.eg/mintra-unbreakable-bowl-with-2-handles-550ml-watermelon-37558477.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/485573/1.jpg?0897,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable Bowl with two handle Color: watermelon Capacity: 550ml,SKU: MI869HL1A4S91NAFAMZ Model: 6221236082484 Color: N/A Main Material: N/A,5 out of 5 (2 verified ratings)
Mintra Unbreakable Oval Tray - 1250 ml – Lavender,EGP 24.00,EGP 32.00,25%,https://www.jumia.com.eg/mintra-unbreakable-oval-tray-1250-ml-lavender-37558512.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/21/585573/1.jpg?0791,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable oval tray Color: lavender Capacity:1250ml,SKU: MI869HL0CUNJ9NAFAMZ Model: 6221236082705 Color: N/A Main Material: N/A,5 out of 5 (1 verified rating)
Mintra Large Plastic Pitcher – Watermelon,EGP 39.00,,,https://www.jumia.com.eg/mintra-largeplastic-pitcher-watermelon-37558541.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/14/585573/1.jpg?0780,Brand: Mintra Material: Plastic Item Type: pitcher Volume:1.4 L. Color: watermelon,SKU: MI869HL08OMATNAFAMZ Model: 6221236035886 Color: N/A Main Material: N/A,5 out of 5 (2 verified ratings)
Mintra Unbreakable Bowl with 2 Handles - 550ml – Turquoise,EGP 15.45,EGP 17.00,9%,https://www.jumia.com.eg/mintra-unbreakable-bowl-with-2-handles-550ml-turquoise-37558471.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/485573/1.jpg?0784,Brand: Mintra Material: Safe and Hygienic No.5 Polypropylene Plastic Product Type: unbreakable Bowl with two handle Color: turquoise Capacity: 550ml,SKU: MI869HL0AERYDNAFAMZ Model: 6221236082446 Color: N/A Main Material: N/A,4 out of 5 (1 verified rating)
