name,price,old price,sale,url,image,fullDescription,productInformation,rating,brand,is_best_seller,new release,productCategory
SHEIN Metal Frame Tinted Lens Glasses-6852,EGP 459.00 57%,EGP 459.00,57%,https://www.jumia.com.eg/shein-metal-frame-tinted-lens-glasses-6852-25172503.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/30/527152/1.jpg?5309,MODEL: SHEIN  Brand : SHEIN  Targeted Group : Women Occasion : Casual Type : Sunglasses  MODEL: SHEIN  Brand : SHEIN  Targeted Group : Women Occasion : Casual Type : Sunglasses ,SKU: SH574FC0I6AWGNAFAMZ Color: Multicolour Main Material: Mix,4.6 out of 5 (49 verified ratings),SHEIN,TRUE,FALSE,fashion
Mesery Bundle OF Six Brief Smooth Cotton Panties,EGP 159.99,EGP 499.00,68%,https://www.jumia.com.eg/mesery-bundle-of-six-brief-smooth-cotton-panties-21287114.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/178212/1.jpg?6886,"This item cannot be exchanged or returned  True to size, take your usual size. It Doesn’t shrink or stretch out Doesn’t wrinkle under your clothes Moisture wicking - keeps you cool and dry Low profile leg bands for stay-in-place comfort Machine Wash Slip on Made of the finest raw materials It has the ability to absorb sweat and prevent unpleasant odors Best-in-class wearing comfort is delivered with the high-quality fabric Ideal for regular use This item cannot be exchanged or returned Colors, Patterns & Printings may vary",SKU: ME773FA0OILB8NAFAMZ Production Country: Egypt Color: May Vary Main Material: Cotton,4.2 out of 5 (3783 verified ratings),Mesery,FALSE,FALSE,fashion
ADIDAS Adilette Aqua Slides Women,EGP 450.00,EGP 899.00,50%,https://www.jumia.com.eg/adidas-adilette-aqua-slides-women-28955171.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/17/155982/1.jpg?9724,  Regular fit   Slip-on construction   Single-bandage synthetic upper   Synthetic outsole; Synthetic lining   Soft Cloudfoam footbed   Quick-drying materials  ,SKU: AD537FS0A7PN2NAFAMZ Model: GX4279 Color: Black Main Material: SYNTHETICS Shop Type: Jumia Mall,4.4 out of 5 (5 verified ratings),ADIDAS,FALSE,FALSE,fashion
Mesery Bundle OF Six Smooth Cotton Hipster Panties,EGP 149.99,EGP 310.00,52%,https://www.jumia.com.eg/mesery-bundle-of-six-smooth-cotton-hipster-panties-17820420.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/02/402871/1.jpg?9002,"This item cannot be exchanged or returned Colors, Patterns & Printings May Vary & May be Duplicate This item cannot be exchanged or returned Doesn’t wrinkle under your clothes Machine Wash Made of cotton material Comes in quick dry effect Breathable, quick-drying & odour-inhibiting Soft and gentle on the skin Ideal for daily use Slip on Stretchable, Elasticated Waistband tailored to best fit",SKU: CA792FA01FI2FNAFAMZ Production Country: Egypt Color: May Vary Main Material: Cotton,4.4 out of 5 (2286 verified ratings),Mesery,FALSE,FALSE,fashion
Mesery Bundle Of Three Full Coverage Non-wired Cross Back Sportive Bra,EGP 99.00,EGP 199.00,50%,https://www.jumia.com.eg/mesery-bundle-of-three-full-coverage-non-wired-cross-back-sportive-bra-21201894.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/49/810212/1.jpg?3740,"This item cannot be exchanged or returned Doesn’t wrinkle under your clothes Machine Wash Made of cotton material Comes in quick dry effect Breathable, quick-drying Soft and gentle on the skin Ideal for daily use full-coverage Sports bra Non-Wired  Slip on Round Neck Sleeveless This item cannot be exchanged or returned Colors, Patterns & Printings May Vary & May be Duplicate",SKU: ME773SL0TNLT0NAFAMZ Model: 15012 Production Country: Egypt Color: May Vary Main Material: Cotton,3.7 out of 5 (228 verified ratings),Mesery,TRUE,FALSE,fashion
Fold-able Backpack Bags Waterproof For Travel And Sports - 1 PCs,EGP 245.00 70%,EGP 245.00,70%,https://www.jumia.com.eg/generic-fold-able-backpack-bags-waterproof-for-travel-and-sports-1-pcs-21405691.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/650412/1.jpg?6739,"From cloth and polyester Fold-able bag Water repellent Suitable for sports, travel and study Versatile Size / 30 * 16 * 42 cm It contains 3 rooms Number / one bag   For more visit our store: Mody Store EG Marketplace",SKU: GE810FC0BP6CSNAFAMZ Model: MH-22019 Production Country: China Size (L x W x H cm): 30 * 16 * 42 cm Color: color may vary Main Material: fabric texture,3.2 out of 5 (114 verified ratings),(114 verified ratings),FALSE,FALSE,fashion
Stylish Women Captone Leather Sneaker - White,EGP 300.00 27%,EGP 300.00,27%,https://www.jumia.com.eg/generic-stylish-women-captone-leather-sneaker-white-30762124.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/42/126703/1.jpg?6989,Flexible Leather upper material Comes with secure lace-up closure Sturdy rubber outsole offers added comfort Soft footed ensures all-day comfort,"SKU: GE810FS0P2X67NAFAMZ Production Country: China, Egypt Color: White Main Material: Leather",4.3 out of 5 (19 verified ratings),(19 verified ratings),TRUE,FALSE,fashion
American Eagle AE Oversized Oxford Button-Up Shirt,EGP 495.00,"EGP 1,400.00",65%,https://www.jumia.com.eg/american-eagle-ae-oversized-oxford-button-up-shirt-26609659.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/95/690662/1.jpg?6793,This button up is made from soft Oxford cotton that you can dress up or down. Make it yours!,SKU: AM423MW1KYZDYNAFAMZ Production Country: Indonesia Color: BLUE Main Material: 100% COTTON,4.7 out of 5 (6 verified ratings),American Eagle,FALSE,FALSE,fashion
American Eagle AE Oversized Oxford Button-Up Shirt,EGP 495.00,"EGP 1,400.00",65%,https://www.jumia.com.eg/american-eagle-ae-oversized-oxford-button-up-shirt-26608953.html, , , , , ,FALSE,FALSE,fashion
Nileton Sportswear - Sport Leggings Pants With Pocket - Black,EGP 275.00 22%,EGP 275.00,22%,https://www.jumia.com.eg/nileton-sportswear-sport-leggings-pants-with-pocket-black-23770922.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/907732/1.jpg?4784,"True to size, take your usual size profile leg bands for stay-in-place comfort Slip on Made of the finest raw materials It has the ability to absorb sweat and prevent unpleasant odors Best-in-class wearing comfort is delivered with the high-quality fabric Ideal for regular use Sizes	36	38	40	42	44	46 S	M	L	XL	XXL	3XL Waist (cm)	68	72	76	80	86	92 Hip (cm)	94	98	102	106	112	118",SKU: NI597MW0DMZPWNAFAMZ Model: 1003 Production Country: Egypt Color: Black Main Material: 88% Polyester - 12 % Lycra,4.6 out of 5 (151 verified ratings),Nileton,FALSE,FALSE,fashion
American Eagle AE Oversized Denim Button-Up Shirt,EGP 495.00,"EGP 1,650.00",70%,https://www.jumia.com.eg/american-eagle-ae-oversized-denim-button-up-shirt-38514532.html, , , , , ,TRUE,FALSE,fashion
Glitter Women Summer Slippers - Beige,EGP 364.00 45%,EGP 364.00,45%,https://www.jumia.com.eg/glitter-women-summer-slippers-beige-39495435.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/459493/1.jpg?1390,Glitter Women Summer Slippers for everyday look,SKU: GL733FS0VTTLXNAFAMZ Model: 0467BEG Production Country: Egypt Color: Beige Main Material: canvas,4.3 out of 5 (3 verified ratings),Glitter,FALSE,FALSE,fashion
