name,price,old orice,sales,url,image,productInformation,fullDescription,color,Product details,left,rating,brand,is_best_seller,new release,productCategory
Infinix Smart 6 HD - 32GB/2GB - 6.6 Inch - Force Black,"EGP 2,900.00","EGP 2,900.00",6%,https://www.jumia.com.eg/infinix-smart-6-hd-32gb2gb-6.6-inch-force-black-39496167.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/169493/1.jpg?0208,SKU: IN234MP19CKR9NAFAMZ Model: smart 6 Production Country: China Color: force black,2Gb 32Gb 6.6 inch Force black ,Color: force black," network technology :  GSM / HSPA / LTE GSM 850/900/1800/1900 2G Band - SIM 1 & SIM 2 3G Network HSDPA 850/900/2100  HSDPA 850/900/1700 (AWS) / 1900/2100 4G bands 1, 3, 5, 8, 38, 40, 41  1 ، 2 ، 3 ، 4 ، 5 ، 7 ، 8 ، 20 ، 28 ، 38 ، 40 ، 41 HSPA speed, LTE Body :  Dimensions - 164.80 * 76.00 * 8.75 mm Chassis Plastic front and back glass, plastic frame Dual SIM (Nano-SIM, dual stand-by) Screen type IPS LCD, 500 nits (type) Size: 6.6 inches, 105.2 cm 2 Resolution 720 x 1600 pixels, 20:9 ratio (266 ppi) PLATFORM OS Android 11 (Go edition), XOS 7.6 Unisoc SC9863A Chipset (28nm) Octa-core CPU (4 x 1.6 GHz Cortex-A55 & 4 x 1.2 GHz Cortex-A55) GPU IMG8322 microSDXC memory card slot (dedicated slot) 32 GB internal memory 2 GB RAM  eMMC 5.1 8 MP dual main camera, autofocus 0.8 MP, (depth) Features dual LED flash 1080p @ 30fps video SELFIE CAMERA MONO 5 MP Features LED flash 720p @ 30fps video Audio Amplifier Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 b / g / n, hotspot Bluetooth Yes GPS Yes, with A-GPS Radio FM USB microUSB 2.0, USB on the go Fingerprint sensors (rear), accelerometer, proximity Battery :  Type Li-Po 5000 mAh Non-removable 10W charging charging",2 units left,0 out of 5 (No ratings available),Infinix,TRUE,FALSE,phone
realme 10 - 256GB/8GB 6.4 Inch - Rush Black,"EGP 9,275.00","EGP 9,275.00",10%,https://www.jumia.com.eg/realme-10-256gb8gb-6.4-inch-rush-black-39250820.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/805293/1.jpg?2768,SKU: RE540MP01O4KTNAFAMZ Model: Realme 10 Production Country: China Color: rush black,8GB 265GB Black 6.4 inch ,Color: rush black," Brand : Realme Screen : 6.4 inches Camera : Dual: 50 + 2 megapixels Internal memory : 256 GB Memory Ram : 8 GB Battery : 5000 mAh Operating system : Android 12, Realme UI 3.0 Cpu : Helio G99",5 units left,0 out of 5 (No ratings available),realme,FALSE,FALSE,phone
Infinix Smart 6 - 6.6-inch 32GB/2GB Dual SIM Mobile Phone-Polar Black,Official Store,Official Store,20%,https://www.jumia.com.eg/smart-6-6.6-inch-32gb2gb-dual-sim-mobile-phone-polar-black-infinix-mpg849830.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/826932/1.jpg?5233,"SKU: IN234MP0CEE5WNAFAMZ Model: X6511B Size (L x W x H cm): 164.80 * 76.00 * 8.75mm Color: Polar Black Main Material: Glass front, plastic back, plastic frame",Processor: UNISOC SC9863A Octa Core RAM: 2 GB RAM Storage: 32 GB Screen: 6.6 inch - IPS LCD Camera: Dual Rear 8 + 0.8 / Front 5 Operating System: Android 11 Go Battery: 5000 mAh,Color: Polar Black," network technology GSM / HSPA / LTE GSM 850/900/1800/1900 2G Band - SIM 1 & SIM 2 3G Network HSDPA 850/900/2100  HSDPA 850/900/1700 (AWS) / 1900/2100 4G bands 1, 3, 5, 8, 38, 40, 41  1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 HSPA speed, LTE body Dimensions - 164.80 * 76.00 * 8.75 mm Chassis Plastic front and back glass, plastic frame Dual SIM (Nano-SIM, dual stand-by) Screen type IPS LCD, 500 nits (type) Size: 6.6 inches, 105.2 cm 2 Resolution 720 x 1600 pixels, 20:9 ratio (266 ppi) PLATFORM OS Android 11 (Go edition), XOS 7.6 Unisoc SC9863A Chipset (28nm) Octa-core CPU (4 x 1.6 GHz Cortex-A55 & 4 x 1.2 GHz Cortex-A55) GPU IMG8322 microSDXC memory card slot (dedicated slot) 32 GB internal memory 2 GB RAM  eMMC 5.1 8 MP dual main camera, autofocus 0.8 MP, (depth) Features dual LED flash 1080p @ 30fps video SELFIE CAMERA MONO 5 MP Features LED flash 720p @ 30fps video Audio Amplifier Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 b / g / n, hotspot Bluetooth Yes GPS Yes, with A-GPS Radio FM USB microUSB 2.0, USB on the go Fingerprint sensors (rear), accelerometer, proximity the battery Type Li-Po 5000 mAh Non-removable 10W charging charging",2 units left,3.9 out of 5 (22 verified ratings),Infinix,FALSE,FALSE,phone
realme Narzo 50A - 6.5-inch 128GB/4GB Dual SIM 4G Mobile Phone - Oxygen Blue,"EGP 5,349.00","EGP 5,349.00",7%,https://www.jumia.com.eg/realme-narzo-50a-6.5-inch-128gb4gb-dual-sim-4g-mobile-phone-oxygen-blue-26069066.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/096062/1.jpg?1364,SKU: RE540MP13CO1QNAFAMZ Model: Narzo 50A Size (L x W x H cm): 164.5 x 75.9 x 9.6 mm Color: Oxygen Blue Main Material: n/a,"Brand : Realme Color : Oxygen Blue Product Type : Mobile Network 2G : GSM 900 / 1800 / 1900 Network 3G : HSDPA 900 / 1900 / 2100 4G Network : LTE SIM card : Dual SIM (Nano-SIM, dual stand-by) SIM card : Dual SIM Chipset : MediaTek Helio G85 (12nm) CPU (Processor) : Octa Core CPU Speed (GHz) : Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55) GPU : Mali-G52 MC2 RAM : 4 GB Display Size : 6.5 inches Display Type : 6.5 inches, 720 x 1600 pixels, IPS LCD, 570 nits (HBM) Internal Storage : 128 GB Operating System : Android OS version : Android 11, Realme UI 2.0 Primary Camera Triple : 50 MP, (wide), PDAF + 2 MP, (macro) + 2 MP, (depth), LED flash, HDR, panorama Secondary Camera : 8 MP, (wide), HDR, panorama Video Resolutions : 1080p@30/60fps Bluetooth : 5.0, A2DP, LE WLAN : Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot Sensors : Fingerprint (rear-mounted), accelerometer, proximity, compass Battery : Li-Po 6000 mAh, non-removable, Fast charging 18W",Color: Oxygen Blue,"  Specifications KEY FEATURES Brand : Realme Color : Oxygen Blue Product Type : Mobile Network 2G : GSM 900 / 1800 / 1900 Network 3G : HSDPA 900 / 1900 / 2100 4G Network : LTE SIM card : Dual SIM (Nano-SIM, dual stand-by) SIM card : Dual SIM Chipset : MediaTek Helio G85 (12nm) CPU (Processor) : Octa Core CPU Speed (GHz) : Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55) GPU : Mali-G52 MC2 RAM : 4 GB Display Size : 6.5 inches Display Type : 6.5 inches, 720 x 1600 pixels, IPS LCD, 570 nits (HBM) Internal Storage : 128 GB Operating System : Android OS version : Android 11, Realme UI 2.0 Primary Camera Triple : 50 MP, (wide), PDAF + 2 MP, (macro) + 2 MP, (depth), LED flash, HDR, panorama Secondary Camera : 8 MP, (wide), HDR, panorama Video Resolutions : 1080p@30/60fps Bluetooth : 5.0, A2DP, LE WLAN : Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot Sensors : Fingerprint (rear-mounted), accelerometer, proximity, compass Battery : Li-Po 6000 mAh, non-removable, Fast charging 18W SPECIFICATIONS SKU: RE540MP13CO1QNAFAMZ Model: Narzo 50A Size (L x W x H cm): 164.5 x 75.9 x 9.6 mm Color: Oxygen Blue Main Material: n/a Verified Customer Feedback  This product has no ratings yet.",2 units left,0 out of 5 (No ratings available),realme,FALSE,FALSE,phone
"Infinix Hot 20i, 128GB, 4GB RAM ( Up To 7GB Extended RAM ), 6.6 Inches, Dual SIM, Luna Blue","EGP 4,350.00","EGP 4,350.00",6%,https://www.jumia.com.eg/infinix-hot-20i-128gb-4gb-ram-up-to-7gb-extended-ram-6.6-inches-dual-sim-luna-blue-39045675.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/654093/1.jpg?6183,"SKU: IN234MP0YBQ6LNAFAMZ Model: Hot 20i Production Country: China Size (L x W x H cm): 164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in) Color: Luna Blue Main Material: Build Glass front, plastic back, plastic frame","128GB, 4GB RAM up to 7GB Extended RAM 6.6 inches Dual SIM",Size (L x W x H cm): 164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in)," NETWORK : GSM / HSPA / LTE BODY Dimensions 164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in) Weight 195 g (6.88 oz) Build Glass front, plastic back, plastic frame SIM Dual SIM (Nano-SIM, dual stand-by) DISPLAY Type IPS LCD, 500 nits (peak) Size 6.6 inches, 104.6 cm2 (~83.1% screen-to-body ratio) Resolution 720 x 1612 pixels, 20:9 ratio (~267 ppi density) PLATFORM OS Android 12 or Android 12 (Go edition), XOS 10.6 Chipset Mediatek MT6762G Helio G25 (12 nm) / Mediatek MT6761 Helio A22 (12 nm) CPU Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) / Quad-core 2.0 GHz Cortex-A53 GPU PowerVR GE8320 MEMORY Card slot microSDXC (dedicated slot) Internal 128GB, 4GB RAM up to 7GB Extended RAM MAIN CAMERA Triple 13 MP, f/1.8, (wide), AF QVGA QVGA Features Dual-LED flash Video 1080p@30fps SELFIE CAMERA Single 8 MP Features LED flash Video 1080p@30fps SOUND Loudspeaker Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band Bluetooth Yes Positioning GPS NFC No Radio FM radio USB microUSB 2.0, OTG FEATURES Sensors Fingerprint (rear-mounted), accelerometer, proximity BATTERY Type Li-Ion 5000 mAh, non-removable Charging 10W wired 5W reverse wired",7 units left,5 out of 5 (1 verified rating),Infinix,TRUE,TRUE,phone
Infinix Smart 6 - 6.6-inch 32GB/2GB Dual SIM Mobile Phone - Light Sea Green,"EGP 3,195.99","EGP 3,195.99",20%,https://www.jumia.com.eg/smart-6-6.6-inch-32gb2gb-dual-sim-mobile-phone-light-sea-green-infinix-mpg871847.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/764742/1.jpg?8464,SKU: IN234MP08SGJQNAFAMZ Model: Smart 6 Color: Light Sea Green,Display Size In Inches: 6.6 inches Processor CPU: Octa-core Internal Memory Capacity In GB: 32GB Memory RAM In GB: 2GB Rear Camera: 8 MP Front Camera: 5 MP Battery: 5000 mAh,Color: Light Sea Green," Infinix Smart 6     6.6” Waterdrop Sunlight Fullscreen Crispy-smooth Colors Even Under the Sun  500nits Peak Brightness GSmart 6 is outfitted with a bright 6.6-inch HD+ screen that boasts 500 nits of peak brightness, delivering a pleasing visual experience whether it’s outdoors or in sunny weather. It will provide you with a full cinematic view that's delightful to look at — every time.  Storage and speed you can count oPower Marathon X Video Power Engine Power Marathon offers 3 power-saving strategies: ""Power Boost"", ""Ultra Power Mode"" and ""Video Power Engine"". When the battery is down to 5% of its full capacity, turn on Ultra Power Mode via Power Marathon Tech. In turn, this will give you 15 additional hours of battery life, which can provide up to 90mins of calling time.  DTS Audio Processing+Beez 2.0 The Beez 2.0 brings out the best of your creativity by enabling you to compose your own music, input vocals, lyrics, and edit. Advanced sound technology and DTS audio processing provide the Smart 6 with a powerful musical experience that is pleasing to the senses.  S-I Antibacterial Material In the fight to combat the spread of diseases and other forms of bacteria, we have introduced S-I (Silver Ions) Antibacterial Material to our Smart 6, making them tougher and more resistant against germs.  Kids Mode Kids Mode is the perfect solution to help protect your children from accessing potentially harmful or inappropriate information. Not only does it safeguard your children, but it also gives you peace of mind by allowing you to manage apps and other settings on your children's behalf.  Xvocal Colorful Chatting with Voice Changer Want to have more fun when chatting with your friends? Xvocal can help you distort your voice the way you want so as to protect the real you in the virtual world.  Capture Your Moments 8MP Dual Rear Camera with Dual Flashlight Smart 6 features an 8MP dual rear camera and dual flashlight, which not only enables an amazing and clearer presentation of details, but also a better bokeh effect.  Aura Waves Textured Design New Trendsetting Looks Inspired by nature’s finest stones, Smart 6 is wrapped up in a shiny Aura Waves textured design that sparkles at every glance. Outlandish yet stylish, it comes in four youthful finishes that will make you stand out from the crowd.   Display Type: IPS LCD Display Size: 6.6 inches Display Resolution: 720 x 1600 pixels Touch Screen: YES Processor Chipset: Unisoc SC9863A Processor CPU: Octa-core CPU:(4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55) Memory Internal: 32 GB Memory RAM: 2 GB Operating System Version: Android 11 (Go edition), XOS 7.6 Main Camera: 8 MP Selfie Camera: 5 MP Video Recording Type: 720p@30fps SIM Type: Nano SIM Sensors: Fingerprint (rear-mounted), accelerometer, proximity WiFi: YES Bluetooth: YES Radio: YES Battery capacity: 5000 mAh  ",1 units left,5 out of 5 (3 verified ratings),Infinix,FALSE,FALSE,phone
realme C21 Y - 6.5-inch 64GB/4GB Dual SIM 4G Mobile Phone - Cross Black,"EGP 4,349.00","EGP 4,349.00",28%,https://www.jumia.com.eg/realme-c21-y-6.5-inch-64gb4gb-dual-sim-4g-mobile-phone-cross-black-27061823.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/816072/1.jpg?0192,SKU: RE540MP0JJD1KNAFAMZ Model: RMX3261 Size (L x W x H cm): 162.5 × 74.8 × 8.5 ملم Color: Cross Black Main Material: Plastic,Processor: Unisoc T610RAM: 4 GBStorage: 64GBScreen: 6.5 inch - IPS LCD with a notchCamera: Triple rear 13 + 2 + 2 MP / front 5 MPOperating System: Android 10Battery: 5000 mAh,Color: Cross Black," networkTechniqueGSM / HSPA / LTE3GHSDPA 850/900/21004G1, 3, 5, 8, 38, 40, 41SpeedHSPA 42.2 / 5.76 Mbps, LTEphone bodymobile dimensions164.5 x 76 x 9.1 mm (6.48 x 2.99 x 0.36 in)Mobile weight200 grams (7.05 ounces)SIM cardDual Nano-SIM (both in standby mode)Manufacturing materialsGlass front, plastic frame, plastic backthe screenWritesIPS LCDthe size6.5 inches (~81.6% screen-to-body ratio)Accuracy720 x 1600 pixels, 20:9 ratio, 270 ppiOther features of the screen- 400 lumens (type)hardwareOSAndroid 10 Realme UIProcessor typeUnisoc T610 - manufacturing precision (12 nm)the speedOcta-core (2xX.X GHz Cortex-A75 and 6x1.8 GHz Cortex-A55)GPUMali- G52memoryextra memorymicroSDXC (dedicated slot)RAM4 GB RAMstorage64 GB eMMC 5.1camerasthe backgroundTriple camera:- 13 MP, (wide), PDAF, f / 2.2. Aperture- 2 Megapixels, (macro), f / 2.4. Aperture- 2 MP, (depth sensor), f / 2.4. ApertureCamera FeaturesLED flash, HDR, panoramavideo recording1080p, 30 frames per secondfront camera5 MP, (wide), f / 2.2. ApertureFront camera featuresHDR, panoramathe video1080p, 30 frames per secondthe batterythe battery5000 mAh, Li-Polymer, non-removableOther battery featuresSupports reverse chargingthe soundLoudspeakeryes3.5 mm headphone jackPropertiesWi-Fi TechnologyYes, Wi-Fi 802.11 b/g/n, hotspotBluetooth technologyYes, 5.0, A2DP, LEGPSYes, with A-GPS, GLONASS and BDSRadio FM Shipping PortmicroUSB 2.0, USB on the gosensorsFingerprint accelerometer, proximity, compass, gyro",3 units left,0 out of 5 (No ratings available),realme,FALSE,FALSE,phone
"Infinix Hot 20i,6.6 Inches, 128GB, 4GB RAM ( Up To 7GB Extended RAM ) Dual SIM, Wilderness Black","EGP 4,350.00","EGP 4,350.00",7%,https://www.jumia.com.eg/infinix-hot-20i6.6-inches-128gb-4gb-ram-up-to-7gb-extended-ram-dual-sim-wilderness-black-39045676.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/654093/1.jpg?6183,"SKU: IN234MP14A28DNAFAMZ Model: Hot 20i Production Country: China Size (L x W x H cm): 164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in) Color: Wilderness Black Main Material: Build Glass front, plastic back, plastic frame","128GB, 4GB RAM up to 7GB Extended RAM 6.6 inches Dual SIM",Size (L x W x H cm): 164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in)," NETWORK : GSM / HSPA / LTE BODY Dimensions 164.8 x 76.4 x 8.8 mm (6.49 x 3.01 x 0.35 in) Weight 195 g (6.88 oz) Build Glass front, plastic back, plastic frame SIM Dual SIM (Nano-SIM, dual stand-by) DISPLAY Type IPS LCD, 500 nits (peak) Size 6.6 inches, 104.6 cm2 (~83.1% screen-to-body ratio) Resolution 720 x 1612 pixels, 20:9 ratio (~267 ppi density) PLATFORM OS Android 12 or Android 12 (Go edition), XOS 10.6 Chipset Mediatek MT6762G Helio G25 (12 nm) / Mediatek MT6761 Helio A22 (12 nm) CPU Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) / Quad-core 2.0 GHz Cortex-A53 GPU PowerVR GE8320 MEMORY Card slot microSDXC (dedicated slot) Internal 128GB, 4GB RAM up to 7GB  Extended RAM MAIN CAMERA Triple 13 MP, f/1.8, (wide), AF QVGA QVGA Features Dual-LED flash Video 1080p@30fps SELFIE CAMERA Single 8 MP Features LED flash Video 1080p@30fps SOUND Loudspeaker Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band Bluetooth Yes Positioning GPS NFC No Radio FM radio USB microUSB 2.0, OTG FEATURES Sensors Fingerprint (rear-mounted), accelerometer, proximity BATTERY Type Li-Ion 5000 mAh, non-removable Charging 10W wired 5W reverse wired",8 units left,0 out of 5 (No ratings available),Infinix,FALSE,FALSE,phone
Infinix Smart 6 PLus - 6.82 - Inch 64GB/2GB(UpTo 4GB)Ram Dual Sim4G Mobile Phone - Crystal Violet,"EGP 3,474.99","EGP 3,474.99",30%,https://www.jumia.com.eg/infinix-smart-6-plus-6.82-inch-64gb2gbupto-4gbram-dual-sim4g-mobile-phone-crystal-violet-38454641.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/645483/1.jpg?1265,SKU: IN234MP08PWIZNAFAMZ Model: X6823 Color: Crystal Violet,Display Size In Inches: 6.82 inches Processor CPU: Octa-core Internal Memory Capacity In GB: 64GB Memory RAM In GB: 2GB(Up to 4GB) Rear Camera: 8 MP + 0.3 MP Front Camera: 5 MP Battery: 5000 mAh,Color: Crystal Violet," NETWORK Technology GSM / HSPA / LTE 2G bands GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 3G bands HSDPA 850 / 900 / 2100 4G bands 1, 3, 5, 8, 38, 40, 41 Speed HSPA, LTE BODY Dimensions 172.6 x 77.7 x 8.7 mm (6.80 x 3.06 x 0.34 in) Weight 202 g (7.13 oz) Build Glass front, plastic back, plastic frame SIM Dual SIM (Nano-SIM, dual stand-by) DISPLAY Type IPS LCD, 440 nits (typ) Size 6.82 inches, 112.3 cm2 (~83.7% screen-to-body ratio) Resolution 720 x 1600 pixels, 20:9 ratio (~257 ppi density) Protection Panda Glass PLATFORM OS Android 11 (Go edition) Chipset Mediatek MT6762G Helio G25 (12 nm) CPU Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) GPU PowerVR GE8320 MEMORY Card slot microSDXC (dedicated slot) Internal 64GB 2GB(Up to 4GB) RAM   eMMC 5.1 MAIN CAMERA Dual 8 MP, f/2.0, AF 0.3 MP, (depth) Features Dual-LED flash, HDR, panorama Video 1080p@30fps SELFIE CAMERA Single 5 MP, f/2.0 Features LED flash Video 720p@30fps SOUND Loudspeaker Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 a/b/g/n Bluetooth 5.0, A2DP, LE Positioning GPS NFC No Radio FM radio USB microUSB 2.0, OTG FEATURES Sensors Fingerprint (rear-mounted), accelerometer, proximity BATTERY Type Li-Po 5000 mAh, non-removable",1 units left,0 out of 5 (No ratings available),Infinix,FALSE,FALSE,phone
Infinix Smart 6 HD - 6.6 Inch 32GB/2GB Ram Dual Sim 4G Mobile Phone - Aqua Sky,"EGP 3,049.99","EGP 3,049.99",24%,https://www.jumia.com.eg/infinix-smart-6-hd-6.6-inch-32gb2gb-ram-dual-sim-4g-mobile-phone-aqua-sky-40280175.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/108204/1.jpg?5025,SKU: IN234MP0Y00Z0NAFAMZ Model: X6512 Size (L x W x H cm): 165.64 * 76.40 * 9.05 mm Color: Aqua Sky,Display Size In Inches: 6.6 inches Processor CPU: Octa-core Internal Memory Capacity In GB: 32 Memory RAM In GB: 2 Rear Camera: 8 MP + QVGA  Front Camera: 5 MP Battery: 5000 mAh,Color: Aqua Sky," NETWORK Technology GSM / HSPA / LTE 2G bands GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 3G bands HSDPA 850 / 900 / 2100   HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100   HSDPA 900 / 2100 4G bands 1, 3, 5, 8, 38, 40, 41   1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41   1, 3, 7, 8, 20 Speed HSPA, LTE Build Glass front, plastic back, plastic frame SIM Dual SIM (Nano-SIM, dual stand-by) DISPLAY Type IPS LCD, 500 nits (peak) Size 6.6 inches, 105.2 cm2 Resolution 720 x 1600 pixels, 20:9 ratio (~266 ppi density) PLATFORM OS Android 11 (Go edition), XOS 7.6 Chipset A22 CPU Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55) GPU IMG8322 MEMORY Card slot microSDXC (dedicated slot) Internal 32GB 2GB RAM   eMMC 5.1 MAIN CAMERA Dual 8 MP, AF QVGA Features Dual-LED flash Video 1080p@30fps SELFIE CAMERA Single 5 MP Features LED flash Video 720p@30fps SOUND Loudspeaker Yes 3.5mm jack Yes COMMS WLAN Wi-Fi 802.11 b/g/n Bluetooth Yes Positioning GPS NFC No Radio FM radio USB microUSB 2.0, OTG FEATURES Sensors Accelerometer, proximity BATTERY Type Li-Po 5000 mAh, non-removable Charging 10W wired",1 units left,0 out of 5 (No ratings available),Infinix,FALSE,FALSE,phone
