name,price,old price,sale,url,image,fullDescription,productInformation,rating,is_best_seller,new release,productCategory
LCD Writing Tablet Size12inch-color-green,EGP 110.00,EGP 175.00,37%,https://www.jumia.com.eg/generic-lcd-writing-tablet-size12inch-color-green-44242330.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/03/324244/1.jpg?2940,writing tablet LCD  size : 12 inch color : green easy writing  painting  graffity  practice  calculus  writing on the writing area dirctly with the pin  ,SKU: GE810MP01Z904NAFAMZ Production Country: China Color: green Main Material: n/a,0 out of 5 (No ratings available),TRUE,FALSE,tablet
8.5 Inch LCD Writing Tablet -color-blue,EGP 85.00,EGP 125.00,32%,https://www.jumia.com.eg/generic-8.5-inch-lcd-writing-tablet-color-blue-39048031.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/13/084093/1.jpg?6947,"8.5 LCD writing tablet Environment -friendly  no paper , no chalk painting  graffiti practice  calculus color : blue how to use  1- pull out the pen  2-writing on the area directly with the pen  press the remove button to erase the writing content",SKU: GE810MP07SFR1NAFAMZ Production Country: China Color: blue Main Material: n/a,4 out of 5 (2 verified ratings),FALSE,FALSE,tablet
Writing Tablet Lcd 8.5 Inches-color-red,EGP 89.00,EGP 135.00,34%,https://www.jumia.com.eg/generic-writing-tablet-lcd-8.5-inches-color-red-28605491.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/19/450682/1.jpg?3336,"LCD writing tablet  8.5 inches  Environment -friendly no paper , no chalk painting  graffiti  practice calculus easy writing color : red",SKU: GE810MP0BKW8QNAFAMZ Production Country: China Color: red Main Material: n/a,5 out of 5 (1 verified rating),FALSE,FALSE,tablet
LCD Writing Tablet 12inch Color Red,EGP 110.00,EGP 175.00,37%,https://www.jumia.com.eg/generic-lcd-writing-tablet-12inch-color-red-44242343.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/34/324244/1.jpg?2941,writing tablet LCD  size : 12 inch color : red easy writing  painting  graffity  practice  calculus  writing on the writing area dirctly with the pin,SKU: GE810MP0KFOR8NAFAMZ Production Country: China Color: red Main Material: n/a,0 out of 5 (No ratings available),FALSE,FALSE,tablet
Lenovo Tab M7 7305X 2GB RAM 32GB,"EGP 2,820.00","EGP 3,999.00",29%,https://www.jumia.com.eg/lenovo-tab-m7-7305x-2gb-ram-32gb-40746924.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/42/964704/1.jpg?4496,Model: Tab M7 Type: Tablet Processor: Mediatek MT8321 Ram: 2 GB Storage: 32 GB Network: 3G Case Material: Metal Front Camera: 2 MP Rear Camera: 2 MP Battery capacity: 3500 mAh Operating System: Android Microphone: Yes Bluetooth: Yes Wireless: Yes Supports Single Nano SIM Card,SKU: LE018MP0PKVS0NAFAMZ Model: M7 Color: PLATINUM GREY,0 out of 5 (No ratings available),TRUE,TRUE,tablet
LCD Writing Tablet 8.5 Inches-color-black,EGP 89.00,EGP 165.00,46%,https://www.jumia.com.eg/generic-lcd-writing-tablet-8.5-inches-color-black-28605467.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/76/450682/1.jpg?3328,"LCD writing tablet  8.5 inches  Environment -friendly no paper , no chalk painting  graffiti  practice calculus easy writing  a key to clear color : black",SKU: GE810MP19ILQ2NAFAMZ Production Country: China Color: black Main Material: n/a,0 out of 5 (No ratings available),FALSE,FALSE,tablet
Huawei MatePad T8 - 8.0-inch 32GB/2GB Single SIM 4G Tablet - Deepsea Blue,Official Store,"EGP 4,999.00",5%,https://www.jumia.com.eg/huawei-matepad-t8-8.0-inch-32gb2gb-single-sim-4g-tablet-deepsea-blue-36964089.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/98/046963/1.jpg?7198,"8.0-inch HD IPS LCD Screen 32GB Storage, 2 GB RAM 5 MP Back Camera, 2 MP Front Camera Octa-core CPU: 4x2.0 GHz + 4x1.5 GHz Li-Po 5100 mAh Battery, Single SIM OS: Android 10, EMUI 10, no Google Play Services",SKU: HU820MP1MDHIRNAFAMZ Model: MatePad T8 32GB/2GB Size (L x W x H cm): 199.7 x 121.1 x 8.6 mm Color: Deepsea Blue Main Material: N/A Shop Type: Jumia Mall,3 out of 5 (1 verified rating),TRUE,FALSE,tablet
LCD Writing Tablet 12inch Color-blue,EGP 110.00,EGP 175.00,37%,https://www.jumia.com.eg/generic-lcd-writing-tablet-12inch-color-blue-44242335.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/324244/1.jpg?2940, writing tablet LCD  size : 12 inch color : blue easy writing  painting  graffity  practice  calculus  writing on the writing area dirctly with the pin  ,SKU: GE810MP0VQX90NAFAMZ Production Country: China Color: blue Main Material: n/a,0 out of 5 (No ratings available),FALSE,FALSE,tablet
8.5 Inch LCD Writing Tablet - Green Color,EGP 85.00,EGP 125.00,32%,https://www.jumia.com.eg/generic-8.5-inch-lcd-writing-tablet-green-color-39048035.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/084093/1.jpg?6948,"8.5 LCD writing tablet Environment -friendly  no paper , no chalk painting  graffiti practice  calculus color : green  how to use  1- pull out the pen  2-writing on the area directly with the pen  press the remove button to erase the writing content",SKU: GE810MP0VLRY5NAFAMZ Production Country: China Color: green Main Material: n/a,0 out of 5 (No ratings available),FALSE,FALSE,tablet
8.5 Inches LCD Writing Tablet - Color- White,EGP 87.00,EGP 125.00,30%,https://www.jumia.com.eg/generic-8.5-inches-lcd-writing-tablet-color-white-39048039.html,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/93/084093/1.jpg?4383,"8.5 LCD writing tablet Environment -friendly  no paper , no chalk painting  graffiti practice  calculus color : white how to use  1- pull out the pen  2-writing on the area directly with the pen  press the remove button to erase the writing content",SKU: GE810MP1JF459NAFAMZ Production Country: China Color: white Main Material: n/a,0 out of 5 (No ratings available),FALSE,FALSE,tablet
